"","subj_idx","blockno","trialno","rt","response","id","motive","condition","other_poss_loss"
"403",1,3,29,1463,0,"md_as_14","reciprocity","control",160
"404",1,3,30,1344,1,"md_as_14","reciprocity","control",360
"405",1,3,31,1342,1,"md_as_14","reciprocity","control",380
"406",1,3,32,1060,1,"md_as_14","reciprocity","control",380
"407",1,3,33,1820,1,"md_as_14","reciprocity","control",320
"408",1,3,34,792,0,"md_as_14","reciprocity","control",180
"409",2,1,1,1129,1,"md_as_15","reciprocity","treatment",340
"410",2,1,2,1637,0,"md_as_15","reciprocity","treatment",240
"411",2,1,3,1010,1,"md_as_15","reciprocity","treatment",120
"412",2,1,4,871,1,"md_as_15","reciprocity","treatment",280
"413",2,1,5,897,1,"md_as_15","reciprocity","treatment",220
"414",2,1,6,959,1,"md_as_15","reciprocity","treatment",300
"415",2,1,7,779,1,"md_as_15","reciprocity","treatment",220
"416",2,1,8,1157,1,"md_as_15","reciprocity","treatment",100
"417",2,1,9,827,0,"md_as_15","reciprocity","treatment",60
"418",2,1,10,1177,0,"md_as_15","reciprocity","treatment",120
"419",2,1,11,1390,1,"md_as_15","reciprocity","treatment",360
"420",2,1,12,1176,1,"md_as_15","reciprocity","treatment",360
"421",2,1,13,1869,0,"md_as_15","reciprocity","treatment",160
"422",2,1,14,1717,1,"md_as_15","reciprocity","treatment",280
"423",2,1,15,3009,0,"md_as_15","reciprocity","treatment",380
"424",2,1,16,1512,1,"md_as_15","reciprocity","treatment",20
"425",2,1,17,813,1,"md_as_15","reciprocity","treatment",380
"426",2,1,18,577,1,"md_as_15","reciprocity","treatment",100
"427",2,1,19,443,0,"md_as_15","reciprocity","treatment",340
"428",2,1,20,1028,0,"md_as_15","reciprocity","treatment",180
"429",2,1,21,1332,1,"md_as_15","reciprocity","treatment",20
"430",2,1,22,966,1,"md_as_15","reciprocity","treatment",180
